id_com;name_com;id_cercle
1;KENIEBA;4
1;KENIEBA;4
2;BAYE;4
2;BAYE;4
2;BAYE;4
2;BAYE;4
2;BAYE;4
2;BAYE;4
2;BAYE;4
2;BAYE;4
2;BAYE;4
2;BAYE;4
2;BAYE;4
2;BAYE;4
2;BAYE;4
2;BAYE;4
2;BAYE;4
2;BAYE;4
2;BAYE;4
3;DABIA;4
3;DABIA;4
3;DABIA;4
3;DABIA;4
3;DABIA;4
3;DABIA;4
3;DABIA;4
3;DABIA;4
3;DABIA;4
3;DABIA;4
3;DABIA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
4;DIALAFARA;4
5;DOMBIA;4
5;DOMBIA;4
5;DOMBIA;4
5;DOMBIA;4
5;DOMBIA;4
6;FALEA;4
6;FALEA;4
6;FALEA;4
6;FALEA;4
6;FALEA;4
6;FALEA;4
6;FALEA;4
6;FALEA;4
6;FALEA;4
6;FALEA;4
6;FALEA;4
6;FALEA;4
6;FALEA;4
6;FALEA;4
6;FALEA;4
6;FALEA;4
6;FALEA;4
6;FALEA;4
6;FALEA;4
7;FARABA;4
7;FARABA;4
7;FARABA;4
7;FARABA;4
7;FARABA;4
7;FARABA;4
7;FARABA;4
7;FARABA;4
7;FARABA;4
7;FARABA;4
7;FARABA;4
7;FARABA;4
8;GUENEGORE;4
8;GUENEGORE;4
8;GUENEGORE;4
8;GUENEGORE;4
8;GUENEGORE;4
8;GUENEGORE;4
8;GUENEGORE;4
8;GUENEGORE;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
9;KASSAMA;4
0;KROUKOTO;4
0;KROUKOTO;4
0;KROUKOTO;4
0;KROUKOTO;4
0;KROUKOTO;4
0;KROUKOTO;4
0;KROUKOTO;4
0;KROUKOTO;4
0;KROUKOTO;4
0;KROUKOTO;4
0;KROUKOTO;4
1;SAGALO;4
1;SAGALO;4
1;SAGALO;4
1;SAGALO;4
1;SAGALO;4
1;SAGALO;4
1;SAGALO;4
1;SAGALO;4
1;SAGALO;4
1;SAGALO;4
1;SAGALO;4
1;SAGALO;4
1;SAGALO;4
1;SAGALO;4
1;SAGALO;4
1;SAGALO;4
1;SAGALO;4
2;SITAKILLY;4
2;SITAKILLY;4
2;SITAKILLY;4
2;SITAKILLY;4
2;SITAKILLY;4
2;SITAKILLY;4
2;SITAKILLY;4
2;SITAKILLY;4
2;SITAKILLY;4
2;SITAKILLY;4
2;SITAKILLY;4
2;SITAKILLY;4
2;SITAKILLY;4
2;SITAKILLY;4
1;KITA COMMUNE;5
1;KITA COMMUNE;5
1;KITA COMMUNE;5
1;KITA COMMUNE;5
1;KITA COMMUNE;5
1;KITA COMMUNE;5
1;KITA COMMUNE;5
1;KITA COMMUNE;5
1;KITA COMMUNE;5
1;KITA COMMUNE;5
1;KITA COMMUNE;5
1;KITA COMMUNE;5
1;KITA COMMUNE;5
2;BADIA;5
2;BADIA;5
2;BADIA;5
2;BADIA;5
2;BADIA;5
2;BADIA;5
2;BADIA;5
2;BADIA;5
2;BADIA;5
3;BENDOUGOUBA;5
3;BENDOUGOUBA;5
3;BENDOUGOUBA;5
3;BENDOUGOUBA;5
3;BENDOUGOUBA;5
3;BENDOUGOUBA;5
3;BENDOUGOUBA;5
3;BENDOUGOUBA;5
3;BENDOUGOUBA;5
3;BENDOUGOUBA;5
3;BENDOUGOUBA;5
3;BENDOUGOUBA;5
3;BENDOUGOUBA;5
3;BENDOUGOUBA;5
3;BENDOUGOUBA;5
4;BENKADI FOUNIA;5
4;BENKADI FOUNIA;5
4;BENKADI FOUNIA;5
4;BENKADI FOUNIA;5
4;BENKADI FOUNIA;5
4;BENKADI FOUNIA;5
4;BENKADI FOUNIA;5
4;BENKADI FOUNIA;5
4;BENKADI FOUNIA;5
4;BENKADI FOUNIA;5
4;BENKADI FOUNIA;5
4;BENKADI FOUNIA;5
4;BENKADI FOUNIA;5
5;BOUDOFO;5
5;BOUDOFO;5
5;BOUDOFO;5
5;BOUDOFO;5
5;BOUDOFO;5
5;BOUDOFO;5
6;BOUGARIBAYA;5
6;BOUGARIBAYA;5
6;BOUGARIBAYA;5
6;BOUGARIBAYA;5
6;BOUGARIBAYA;5
6;BOUGARIBAYA;5
6;BOUGARIBAYA;5
7;DIDENKO;5
7;DIDENKO;5
7;DIDENKO;5
7;DIDENKO;5
7;DIDENKO;5
7;DIDENKO;5
7;DIDENKO;5
8;DJIDIAN;5
8;DJIDIAN;5
8;DJIDIAN;5
8;DJIDIAN;5
8;DJIDIAN;5
8;DJIDIAN;5
8;DJIDIAN;5
8;DJIDIAN;5
8;DJIDIAN;5
8;DJIDIAN;5
8;DJIDIAN;5
8;DJIDIAN;5
8;DJIDIAN;5
9;DJOUGOUN;5
9;DJOUGOUN;5
9;DJOUGOUN;5
9;DJOUGOUN;5
9;DJOUGOUN;5
0;GADOUGOU 1;5
0;GADOUGOU 1;5
0;GADOUGOU 1;5
0;GADOUGOU 1;5
0;GADOUGOU 1;5
0;GADOUGOU 1;5
0;GADOUGOU 1;5
0;GADOUGOU 1;5
0;GADOUGOU 1;5
0;GADOUGOU 1;5
0;GADOUGOU 1;5
0;GADOUGOU 1;5
