id;id_village;nom_village;long;alt;lat;id_com_id
216;1;DJIROLA;-11.54676667;O;13.84136667;1
217;1;FARABACOUTA;-11.6967;O;13.92315;1
218;1;FARABANA;-11.91426667;O;14.18015;1
219;1;FARASSOUMA;-11.60663333;O;14.23296667;1
220;1;KAKADIAN;-11.8405;O;13.83515;1
221;1;KANTELA;-11.60008333;O;13.78625;1
222;1;KENIEBA;-11.7304;O;13.69138333;1
223;1;KEREKOTO;-11.78073333;O;13.55661667;1
224;1;KOBOROTOSSOU;-11.63733333;O;13.70811667;1
225;1;KOROPOTO;-11.64773333;O;13.7619;1
226;1;KOUNDEDIOU/NIANICOTO;-11.7207;O;13.63598333;1
227;1;KOUNGODIAN;-11.71373333;O;14.19936667;1
228;1;KROUKETO;-11.73595;O;14.0501;1
229;1;MADINA;-11.64758333;O;13.95948333;1
230;1;MANDANKOTO;-11.58813333;O;13.7617;1
231;1;MANTALLABOUGOU;-11.65833333;O;14.16401667;1
232;1;MOUSSAKONTELA;-11.62318333;O;14.2733;1
233;1;MOUSSALA;-12.0484;O;13.68588333;1
234;1;NIODJIKOUROU;-11.80665;O;13.89953333;1
235;1;SABOUCIRE;-11.8719;O;13.55673333;1
236;1;SAMANAFOULOU;-11.87361667;O;13.79655;1
237;1;SANGAFARA;-11.67145;O;14.09316667;1
238;1;SEKOKOTO;-11.56968333;O;13.87135;1
239;1;SIRIMANA;-11.66643333;O;13.94811667;1
240;1;SOKOURANI;-11.68368333;O;14.21698333;1
241;1;TABAKOTO;-11.62951667;O;13.83751667;1
242;1;TINTIBA;-11.5627;O;13.8107;1
243;1;YAHERA;-11.78581667;O;13.94563333;1
244;1;YATTELA;-11.79158333;O;14.09938333;1
245;1;YIRIBABOUGOU;-11.66065;O;14.19916667;1
246;1;BAFARARA;-11.47296667;O;15.3776;1
247;1;BILIKOITE;-11.58956667;O;15.53985;1
248;1;NAGARA;-11.60861667;O;15.37126667;1
249;1;SELIFELY;-11.70806667;O;15.47998333;1
250;1;SEOUNDE;-11.51023333;O;15.50703333;1
251;1;TAFARA;-11.41401667;O;15.62441667;1
252;1;BADA;-11.7225;O;14.4269;1
253;1;BALDINCARRE;-11.69415;O;14.43946667;1
254;1;DARSALAM PLANTA;-11.54121667;O;14.47873333;1
255;1;DARSALAM SAME;-11.54031667;O;14.48556667;1
256;1;DIAWARA KOUNDA;-11.56086667;O;14.43616667;1
257;1;DJINDIE;-11.9246;O;14.31005;1
258;1;DOGOFILI;-11.55196667;O;14.44351667;1
259;1;GOUKA;-11.81115;O;14.33418333;1
260;1;KOFOULABE SAME;-11.62075;O;14.39661667;1
261;1;KOSSOUMALE;-11.61038333;O;14.4581;1
262;1;MADINA;-11.72243333;O;14.4022;1
263;1;MARENA;-11.71855;O;14.37996667;1
264;1;NIODOUGOU;-11.59741667;O;14.4059;1
265;1;SAME OUOLOF;-11.56938333;O;14.48556667;1
266;1;SAME PLANTATION;-11.5936;O;14.51183333;1
267;1;SANKARA;-11.85651667;O;14.32566667;1
268;1;SINSEKOURA;-11.66128333;O;14.45581667;1
269;1;SEGALADI;-10.97331667;O;14.5608;1
270;1;BAGORE;-11.02818333;O;14.44941667;1
271;1;BATAMA PEULHS;-10.99101667;O;14.5854;1
272;1;BATAMA SONINKE;-10.99331667;O;14.58585;1
273;1;DIABADJI;-11.01575;O;14.63398333;1
274;1;DIANEGA;-10.92908333;O;14.50706667;1
275;1;DIENKOULOU;-10.9795;O;14.31075;1
276;1;DIOUDIOU;-11.03351667;O;14.32376667;1
277;1;DIOUNGO;-10.9271;O;14.24438333;1
278;1;DRAMEBOUGOULA;-10.93201667;O;14.41958333;1
279;1;KALAOU;-10.98436667;O;14.53325;1
280;1;KANANTARE;-11.0199;O;14.34005;1
281;1;KOUMARE;-10.9468;O;14.37753333;1
282;1;MAMASITA;-11.05188333;O;14.27663333;1
283;1;MOULINE;-10.94883333;O;14.53333333;1
284;1;MOUSSALA FATOLA;-10.95126667;O;14.28698333;1
285;1;SEGALA BA;-10.95823333;O;14.55896667;1
286;1;SEKORO;-11.0185;O;14.49435;1
287;1;TIGUINE;-11.01755;O;14.69626667;1
288;1;TOUBA;-10.97765;O;14.29695;1
289;1;SERO;-11.06325;O;14.80905;1
290;1;ALAHINA;-11.18583333;O;14.66458333;1
291;1;BOUGOUTOUROU;-11.13666667;O;14.73946667;1
292;1;DIADIOUMBERA;-11.05443333;O;14.78916667;1
293;1;GANDEGA;-11.10438333;O;14.7792;1
294;1;KANDIA;-11.04643333;O;14.75793333;1
295;1;KONTELA;-11.09908333;O;14.76635;1
296;1;KOUNANDJI;-11.2042;O;14.69638333;1
297;1;MADINA;-11.17988333;O;14.63053333;1
298;1;MAHINA;-11.10625;O;14.82958333;1
299;1;MAMANIARA;-11.10448333;O;14.77621667;1
300;1;MELO;-11.01723333;O;14.76828333;1
301;1;MISSIRA;-10.85931667;O;14.81551667;1
302;1;NAYELA/TAKOUTALA;-11.05803333;O;14.68285;1
303;1;NOKOUSSIRE;-10.97013333;O;14.79311667;1
304;1;SITAKOUNANDI;-11.11041667;O;14.83666667;1
305;1;SOUKOUTA;-11.11555;O;14.85003333;1
306;1;TROUN;-11.11006667;O;14.80726667;1
307;1;SOMANKIDY;-11.6076;O;14.54658333;1
308;1;BELLOU;-11.62418333;O;14.58293333;1
309;1;GOUMBE;-11.60843333;O;14.59236667;1
310;1;DIGOKORI;-12.00103333;O;14.67596667;1
311;1;KABOU;-12.09106667;O;14.73246667;1
312;1;LANI MODI;-12.05238333;O;14.71516667;1
313;1;LANI TAKOUTALLA;-12.0612;O;14.72018333;1
314;1;LANI TOUNKA;-12.05613333;O;14.71606667;1
315;1;SOBOKOU;-11.98086667;O;14.6591;1
316;1;TAFACIRGA;-12.19031667;O;14.75703333;1
317;1;GOUNDIAMOU;-12.1656;O;14.66186667;1
318;1;GOUTHIOUBE;-12.22861667;O;14.75755;1
319;1;KOTERA;-12.17613333;O;14.75973333;1
320;1;SANGALOU;-12.20801667;O;14.7209;1
321;1;SEGALA;-12.12531667;O;14.76201667;1
322;1;BAFOULABE;-10.83358333;O;13.80998333;1
323;1;DAR SALAM;-10.7738;O;14.11121667;1
324;1;DEMBA DIOUBE;-10.72491667;O;13.77971667;1
