id;com;nom_commune;id_cercle_id
409;4;SOUBA;4
410;4;TOGOU;4
411;4;BARAOUELI;4
412;4;BOIDIE;4
413;4;DOUGOUFIE;4
414;4;GOUENDO;4
415;4;KALAKE;4
416;4;KONOBOUGOU;4
417;4;N'GASSOLA;4
418;4;SANANDO;4
419;4;SOMO;4
420;4;TAMANI;4
421;4;TESSERLA;4
422;4;BLA;4
423;4;BEGUENE;4
424;4;DIARAMANA;4
425;4;DIENA;4
426;4;DOUGOUOLO;4
427;4;FALO;4
428;4;FANI;4
429;4;KAZANGASSO;4
430;4;KEMENI;4
431;4;KORODOUGOU;4
432;4;KOULANDOUGOU;4
433;4;NIALA;4
434;4;SAMABOGO;4
435;4;SOMASSO;4
436;4;TIEMENA;4
437;4;TOUNA;4
438;4;YANGASSO;4
439;4;MACINA;4
440;4;BOKY WERE;4
441;4;FOLOMANA;4
442;4;KOKRY CENTRE;4
443;4;KOLONGO;4
444;4;MATOMO;4
445;4;MONIMPEBOUGOU;4
446;4;SALOBA;4
447;4;SANA;4
448;4;SOULEYE;4
449;4;TONGUE;4
450;4;NIONO;4
451;4;DIABALY;4
452;4;DOGOFRY;4
453;4;KALA SIGUIDA;4
454;4;MARIKO;4
455;4;NAMPALARI;4
456;4;POGO;4
457;4;SIRIBALA;4
458;4;SIRIFILA BOUNDY;4
459;4;SOKOLO;4
460;4;TORIDAGA KO;4
461;4;YEREDON SANIONA;4
462;4;SAN COMMUNE;4
463;4;BARAMANDOUGOU;4
464;4;DAH;4
465;4;DIAKOUROUNA;4
466;4;DIELI;4
467;4;DJEGUENA;4
468;4;FION;4
469;4;KANIEGUE;4
470;4;KARABA;4
471;4;KASSOROLA;4
472;4;KAVA;4
473;4;MORIBILA;4
474;4;N'GOA;4
475;4;NIAMANA;4
476;4;NIASSO;4
477;4;N'TOROSSO;4
478;4;OUOLON;4
479;4;SIADOUGOU;4
480;4;SOMO;4
481;4;SOUROUNTOUNA;4
482;4;SY;4
483;4;TENE;4
484;4;TENENI;4
485;4;TOURAKOLOMBA;4
486;4;WAKI;4
487;4;TOMINIAN;4
488;4;BENENA;4
489;4;DIORA;4
490;4;FANGASSO;4
491;4;KOULA;4
492;4;LANFIALA;4
493;4;MAFOUNE;4
494;4;MANDIAKUY;4
495;4;OUAN;4
496;4;SANEKUY;4
497;4;TIMISSA;4
498;4;YASSO;4
499;5;MOPTI COMMUNE;5
500;5;BASSIROU;5
501;5;BORONDOUGOU;5
502;5;DIALLOUBE;5
503;5;FATOMA;5
504;5;KONNA;5
505;5;KOROMBANA;5
506;5;KOUBAYE;5
507;5;KOUNARI;5
508;5;OURO MODI;5
509;5;OUROUBE DOUDE;5
510;5;SASALBE;5
511;5;SIO;5
512;5;SOCOURA;5
513;5;SOYE;5
514;5;BANDIAGARA;5
515;5;BARA SARA;5
516;5;BORKO;5
517;5;DANDOLI;5
518;5;DIAMNATI;5
519;5;DOGANI BERE;5
520;5;DOUCOMBO;5
521;5;DOUROU;5
522;5;KENDE;5
523;5;LOWOL GUEOU;5
524;5;METOUMOU;5
525;5;ONDOUGOU;5
526;5;PELOU;5
527;5;PIGNARI;5
528;5;PIGNARI BANA;5
529;5;SANGHA;5
530;5;SEGUE IRE;5
531;5;SOROLY;5
532;5;TIMNIRI;5
533;5;WADOUBA;5
534;5;BANKASS;5
535;5;BAYE;5
536;5;DIALLASSAGOU;5
537;5;DIMBAL HABBE;5
538;5;KANI-BONZONI;5
539;5;KOULOGON HABE;5
540;5;LESSAGOU HABE;5
541;5;OUONKORO;5
542;5;SEGUE;5
543;5;SOKOURA;5
544;5;SOUBALA;5
545;5;TORI;5
546;5;DJENNE;5
547;5;DANDOUGOU FAKALA;5
548;5;DERARY;5
549;5;FAKALA;5
550;5;FEMAYE;5
551;5;KEWA;5
552;5;MADIAMA;5
553;5;NEMA-BADENYAKAFO;5
554;5;NIANSANARIE;5
555;5;OURO ALI;5
556;5;PONDORI;5
557;5;TOGUE MOURARI;5
558;5;DOUENTZA;5
559;5;DALLAH;5
560;5;DANGOL-BORE;5
561;5;DEBERE;5
562;5;DIANWELY;5
563;5;DJAPTODJI;5
564;5;GANDAMIA;5
565;5;HAIRE;5
566;5;HOMBORI;5
567;5;KERENA;5
568;5;KORAROU;5
569;5;KOUBEWEL KOUNDIA;5
570;5;MONDORO;5
571;5;PETAKA;5
572;5;TEDIE;5
573;5;KORO;5
574;5;BAMBA;5
575;5;BARAPIRELI;5
576;5;BONDO;5
577;5;DIANKABOU;5
578;5;DINANGOUROU;5
579;5;DIOUNGANI;5
580;5;DOUGOUTENE I;5
581;5;DOUGOUTENE II;5
582;5;KASSA;5
583;5;KOPORO PEN;5
584;5;KOPOROKENDIE NA;5
585;5;MADOUGOU;5
586;5;PEL MAOUDE;5
587;5;YORO;5
588;5;YOUDIOU;5
589;5;TENENKOU;5
590;5;DIAFARABE;5
591;5;DIAKA;5
592;5;DIONDIORI;5
593;5;KARERI;5
594;5;OURO ARDO;5
595;5;OURO GUIRE;5
596;5;SOUGOULBE;5
597;5;TOGORO KOTIA;5
598;5;TOGUERE-COUMBE;5
599;5;YOUWAROU;5
600;5;BIMBERE TAMA;5
601;5;DEBOYE;5
602;5;DIRMA;5
603;5;DONGO;5
604;5;FARIMAKE;5
605;5;N'DODJIGA;5
606;6;TOMBOUCTOU COMMUNE;6
607;6;ALAFIA;6
608;6;BER;6
609;6;BOUREM-INALY;6
610;6;LAFIA;6
611;6;SALAM;6
612;6;DIRE;6
613;6;ARHAM;6
614;6;BINGA;6
615;6;BOUREM SIDI AMAR;6
616;6;DANGHA;6
617;6;GARBAKOIRA;6
618;6;HAIBONGO;6
619;6;KIRCHAMBA;6
620;6;KONDI;6
621;6;SAREYAMOU;6
622;6;TIENKOUR;6
623;6;TINDIRMA;6
624;6;TINGUEREGUIF;6
625;6;GOUNDAM;6
626;6;ALZOUNOUB;6
627;6;BINTAGOUNGOU;6
628;6;ADARMALANE;6
629;6;DOUEKIRE;6
630;6;DOUKOURIA;6
631;6;ESSAKANE;6
632;6;GARGANDO;6
633;6;ISSA BERY;6
634;6;KANEYE;6
635;6;M'BOUNA;6
636;6;RAZ-EL-MA;6
637;6;TELE;6
638;6;TIN AICHA;6
639;6;TONKA;6
640;6;RHAROUS;6
641;6;BAMBARA MAOUDE;6
642;6;BANIKANE;6
643;6;GOSSI;6
644;6;HANZAKOMA;6
645;6;HARIBOMO;6
646;6;INADIATAFANE;6
647;6;OUINERDEN;6
648;6;SERERE;6
649;6;SOBOUNDOU;6
650;6;BANIKANE NARHAWA;6
651;6;DIANKE;6
652;6;FITTOUGA;6
653;6;KOUMAIRA;6
654;6;LERE;6
655;6;N'GORKOU;6
656;6;SOUMPI;6
657;7;GAO COMMUNE;7
658;7;ANCHAWADI;7
659;7;GABERO;7
660;7;GOUNZOUREYE;7
661;7;N'TILLIT;7
662;7;SONY ALIBER;7
663;7;ANSONGO;7
664;7;BARA;7
665;7;OUATTAGOUNA;7
666;7;TALATAYE;7
667;7;TESSIT;7
668;7;BOUREM;7
669;7;BAMBA;7
670;7;TABOYE;7
671;7;MENAKA;7
672;7;ALATA;7
673;7;ANDERAMBOUKANE;7
674;7;INEKAR;7
675;7;TIDERMENE;7
676;8;KIDAL;8
677;8;ANEFIS;8
678;8;ESSOUK;8
679;8;ABEIBARA;8
680;8;BOGHASSA;8
681;8;TESSALIT;8
682;8;AGUEL-HOC;8
683;8;TIN-ESSAKO;8
684;9;COMMUNE-I;9
685;9;COMMUNE-II;9
686;9;COMMUNE-III;9
687;9;COMMUNE-IV;9
688;9;COMMUNE-V;9
689;9;COMMUNE-VI;9
